"","date",".rep",".sim","speciality","wl_type"
"1",2022-12-14,"1",12.1332795865624,"Pain Management","lw_wl"
"2",2022-12-15,"1",11.3940169740151,"Pain Management","lw_wl"
"3",2022-12-16,"1",9.46982864541789,"Pain Management","lw_wl"
"4",2022-12-17,"1",9.57403075014591,"Pain Management","lw_wl"
"5",2022-12-18,"1",9.23120328893934,"Pain Management","lw_wl"
"6",2022-12-19,"1",7.83867230272668,"Pain Management","lw_wl"
"7",2022-12-20,"1",7.85403262148674,"Pain Management","lw_wl"
"8",2022-12-21,"1",8.15692225601517,"Pain Management","lw_wl"
"9",2022-12-22,"1",7.02213915389925,"Pain Management","lw_wl"
"10",2022-12-23,"1",7.7156122954742,"Pain Management","lw_wl"
"11",2022-12-24,"1",7.23749882997769,"Pain Management","lw_wl"
"12",2022-12-25,"1",7.17613189738333,"Pain Management","lw_wl"
"13",2022-12-26,"1",7.68711878698575,"Pain Management","lw_wl"
"14",2022-12-27,"1",8.06361383212086,"Pain Management","lw_wl"
"15",2022-12-28,"1",9.10941954163793,"Pain Management","lw_wl"
"16",2022-12-29,"1",8.4917886891429,"Pain Management","lw_wl"
"17",2022-12-30,"1",8.52592866383411,"Pain Management","lw_wl"
"18",2022-12-31,"1",8.06616122993601,"Pain Management","lw_wl"
"19",2023-01-01,"1",9.36706640494835,"Pain Management","lw_wl"
"20",2023-01-02,"1",9.08506668458005,"Pain Management","lw_wl"
"21",2023-01-03,"1",9.66903816531308,"Pain Management","lw_wl"
"22",2023-01-04,"1",10.0109622675343,"Pain Management","lw_wl"
"23",2023-01-05,"1",11.8946168609246,"Pain Management","lw_wl"
"24",2023-01-06,"1",12.2541642842216,"Pain Management","lw_wl"
"25",2023-01-07,"1",11.7933132513991,"Pain Management","lw_wl"
"26",2023-01-08,"1",12.7214806946208,"Pain Management","lw_wl"
"27",2023-01-09,"1",13.2504631507874,"Pain Management","lw_wl"
"28",2023-01-10,"1",14.0602707494391,"Pain Management","lw_wl"
"29",2023-01-11,"1",14.5980885410009,"Pain Management","lw_wl"
"30",2023-01-12,"1",14.5010207117704,"Pain Management","lw_wl"
"31",2023-01-13,"1",13.7012304341824,"Pain Management","lw_wl"
"32",2023-01-14,"1",13.169294855914,"Pain Management","lw_wl"
"33",2023-01-15,"1",12.7363605124802,"Pain Management","lw_wl"
"34",2023-01-16,"1",12.1785323718216,"Pain Management","lw_wl"
"35",2023-01-17,"1",11.9716225176802,"Pain Management","lw_wl"
"36",2023-01-18,"1",11.9297889342575,"Pain Management","lw_wl"
"37",2023-01-19,"1",11.5074242420109,"Pain Management","lw_wl"
"38",2023-01-20,"1",10.9180666419151,"Pain Management","lw_wl"
"39",2023-01-21,"1",11.467044561942,"Pain Management","lw_wl"
"40",2023-01-22,"1",11.97594354727,"Pain Management","lw_wl"
"41",2023-01-23,"1",11.4371675519447,"Pain Management","lw_wl"
"42",2023-01-24,"1",12.5761129215957,"Pain Management","lw_wl"
"43",2023-01-25,"1",12.8131292643969,"Pain Management","lw_wl"
"44",2023-01-26,"1",12.2998915489263,"Pain Management","lw_wl"
"45",2023-01-27,"1",12.6469903831294,"Pain Management","lw_wl"
"46",2023-01-28,"1",11.8674300686975,"Pain Management","lw_wl"
"47",2023-01-29,"1",11.2255474506283,"Pain Management","lw_wl"
"48",2023-01-30,"1",11.5654184907589,"Pain Management","lw_wl"
"49",2023-01-31,"1",10.7473323083557,"Pain Management","lw_wl"
"50",2023-02-01,"1",10.9090201701136,"Pain Management","lw_wl"
"51",2023-02-02,"1",10.0552933214688,"Pain Management","lw_wl"
"52",2023-02-03,"1",10.3259819041175,"Pain Management","lw_wl"
"53",2023-02-04,"1",10.1336799801544,"Pain Management","lw_wl"
"54",2023-02-05,"1",10.4541334054825,"Pain Management","lw_wl"
"55",2023-02-06,"1",10.9028005559873,"Pain Management","lw_wl"
"56",2023-02-07,"1",11.218028852383,"Pain Management","lw_wl"
"57",2023-02-08,"1",11.418084263618,"Pain Management","lw_wl"
"58",2023-02-09,"1",11.2180143135322,"Pain Management","lw_wl"
"59",2023-02-10,"1",10.1170950762944,"Pain Management","lw_wl"
"60",2023-02-11,"1",9.05841734397097,"Pain Management","lw_wl"
"61",2023-02-12,"1",8.33017375467662,"Pain Management","lw_wl"
"62",2023-02-13,"1",8.68669904251744,"Pain Management","lw_wl"
"63",2023-02-14,"1",8.4898724999254,"Pain Management","lw_wl"
"64",2023-02-15,"1",8.25583940347562,"Pain Management","lw_wl"
"65",2023-02-16,"1",8.66001209337163,"Pain Management","lw_wl"
"66",2023-02-17,"1",8.68713343979035,"Pain Management","lw_wl"
"67",2023-02-18,"1",8.28404963525179,"Pain Management","lw_wl"
"68",2023-02-19,"1",8.0583424138257,"Pain Management","lw_wl"
"69",2023-02-20,"1",8.97113074204744,"Pain Management","lw_wl"
"70",2023-02-21,"1",8.94650024754844,"Pain Management","lw_wl"
"71",2023-02-22,"1",9.53465733806655,"Pain Management","lw_wl"
"72",2023-02-23,"1",9.55845415090903,"Pain Management","lw_wl"
"73",2023-02-24,"1",9.68803218954245,"Pain Management","lw_wl"
"74",2023-02-25,"1",10.9964077592764,"Pain Management","lw_wl"
"75",2023-02-26,"1",11.5874228408947,"Pain Management","lw_wl"
"76",2023-02-27,"1",11.5702729682601,"Pain Management","lw_wl"
"77",2023-02-28,"1",11.4642876896289,"Pain Management","lw_wl"
"78",2023-03-01,"1",11.0941928587818,"Pain Management","lw_wl"
"79",2023-03-02,"1",11.4924331965787,"Pain Management","lw_wl"
"80",2023-03-03,"1",11.8794179902618,"Pain Management","lw_wl"
"81",2023-03-04,"1",11.7529861695063,"Pain Management","lw_wl"
"82",2023-03-05,"1",11.3187346753865,"Pain Management","lw_wl"
"83",2023-03-06,"1",10.9865058538324,"Pain Management","lw_wl"
"84",2023-03-07,"1",9.81703718084216,"Pain Management","lw_wl"
"85",2023-03-08,"1",10.6387364883961,"Pain Management","lw_wl"
"86",2023-03-09,"1",8.98273819067436,"Pain Management","lw_wl"
"87",2023-03-10,"1",9.14307918702115,"Pain Management","lw_wl"
"88",2023-03-11,"1",10.4277380651226,"Pain Management","lw_wl"
"89",2023-03-12,"1",9.76028116411812,"Pain Management","lw_wl"
"90",2023-03-13,"1",10.1226774967138,"Pain Management","lw_wl"
"91",2023-03-14,"1",10.8829879245068,"Pain Management","lw_wl"
"92",2023-03-15,"1",9.71320761886406,"Pain Management","lw_wl"
"93",2023-03-16,"1",10.6889426586614,"Pain Management","lw_wl"
"94",2023-03-17,"1",11.3082193450941,"Pain Management","lw_wl"
"95",2023-03-18,"1",10.6437463910038,"Pain Management","lw_wl"
"96",2023-03-19,"1",11.0657770451008,"Pain Management","lw_wl"
"97",2023-03-20,"1",11.5484910179375,"Pain Management","lw_wl"
"98",2023-03-21,"1",10.4917309587561,"Pain Management","lw_wl"
"99",2023-03-22,"1",11.7817540437065,"Pain Management","lw_wl"
"100",2023-03-23,"1",11.0955720527426,"Pain Management","lw_wl"
"101",2023-03-24,"1",10.3215138528375,"Pain Management","lw_wl"
"102",2023-03-25,"1",9.76581455190987,"Pain Management","lw_wl"
"103",2023-03-26,"1",9.83148851702965,"Pain Management","lw_wl"
"104",2023-03-27,"1",9.72477315809105,"Pain Management","lw_wl"
"105",2023-03-28,"1",9.03162295446432,"Pain Management","lw_wl"
"106",2023-03-29,"1",10.3013413186617,"Pain Management","lw_wl"
"107",2023-03-30,"1",10.681679011783,"Pain Management","lw_wl"
"108",2023-03-31,"1",9.77330846437807,"Pain Management","lw_wl"
"109",2023-04-01,"1",9.09860399247747,"Pain Management","lw_wl"
"110",2023-04-02,"1",8.4133282213308,"Pain Management","lw_wl"
"111",2023-04-03,"1",8.30019734918837,"Pain Management","lw_wl"
"112",2023-04-04,"1",7.11724179251898,"Pain Management","lw_wl"
"113",2023-04-05,"1",7.9523356182727,"Pain Management","lw_wl"
"114",2023-04-06,"1",7.42530612469843,"Pain Management","lw_wl"
"115",2023-04-07,"1",7.35688890161736,"Pain Management","lw_wl"
"116",2023-04-08,"1",6.62493414213555,"Pain Management","lw_wl"
"117",2023-04-09,"1",6.45889247925854,"Pain Management","lw_wl"
"118",2023-04-10,"1",5.65240558431449,"Pain Management","lw_wl"
"119",2023-04-11,"1",6.66247880957475,"Pain Management","lw_wl"
"120",2023-04-12,"1",7.31531607654959,"Pain Management","lw_wl"
"121",2023-04-13,"1",6.70007987368175,"Pain Management","lw_wl"
"122",2023-04-14,"1",5.22262242600895,"Pain Management","lw_wl"
"123",2023-04-15,"1",6.22928689652026,"Pain Management","lw_wl"
"124",2023-04-16,"1",6.022425901448,"Pain Management","lw_wl"
"125",2023-04-17,"1",6.48541366377798,"Pain Management","lw_wl"
"126",2023-04-18,"1",7.94727958275206,"Pain Management","lw_wl"
"127",2023-04-19,"1",8.23707605877539,"Pain Management","lw_wl"
"128",2023-04-20,"1",8.19861681917942,"Pain Management","lw_wl"
"129",2023-04-21,"1",8.9478831102125,"Pain Management","lw_wl"
"130",2023-04-22,"1",9.97200638737378,"Pain Management","lw_wl"
"131",2023-04-23,"1",9.25508145800216,"Pain Management","lw_wl"
"132",2023-04-24,"1",9.253904538502,"Pain Management","lw_wl"
"133",2023-04-25,"1",8.37274894789952,"Pain Management","lw_wl"
"134",2023-04-26,"1",8.31201253363793,"Pain Management","lw_wl"
"135",2023-04-27,"1",9.14291468212284,"Pain Management","lw_wl"
"136",2023-04-28,"1",9.56971799629965,"Pain Management","lw_wl"
"137",2023-04-29,"1",9.97907501341863,"Pain Management","lw_wl"
"138",2023-04-30,"1",9.28891872555589,"Pain Management","lw_wl"
"139",2023-05-01,"1",8.82690715843086,"Pain Management","lw_wl"
"140",2023-05-02,"1",9.57125315913487,"Pain Management","lw_wl"
"141",2023-05-03,"1",9.08746923326316,"Pain Management","lw_wl"
"142",2023-05-04,"1",8.01694013429918,"Pain Management","lw_wl"
"143",2023-05-05,"1",9.13808158861103,"Pain Management","lw_wl"
"144",2023-05-06,"1",10.1829027930678,"Pain Management","lw_wl"
"145",2023-05-07,"1",9.25209828707612,"Pain Management","lw_wl"
"146",2023-05-08,"1",9.34746006515835,"Pain Management","lw_wl"
"147",2023-05-09,"1",10.0857208251182,"Pain Management","lw_wl"
"148",2023-05-10,"1",11.3348403740933,"Pain Management","lw_wl"
"149",2023-05-11,"1",11.1193291487868,"Pain Management","lw_wl"
"150",2023-05-12,"1",11.2748683143377,"Pain Management","lw_wl"
"151",2023-05-13,"1",11.8192957122487,"Pain Management","lw_wl"
"152",2023-05-14,"1",10.7124256187044,"Pain Management","lw_wl"
"153",2023-05-15,"1",11.1987135581808,"Pain Management","lw_wl"
"154",2023-05-16,"1",10.2124890938661,"Pain Management","lw_wl"
"155",2023-05-17,"1",10.6287274637316,"Pain Management","lw_wl"
"156",2023-05-18,"1",9.98391660724363,"Pain Management","lw_wl"
"157",2023-05-19,"1",9.10917944976723,"Pain Management","lw_wl"
"158",2023-05-20,"1",8.60485298738985,"Pain Management","lw_wl"
"159",2023-05-21,"1",7.31576308544665,"Pain Management","lw_wl"
"160",2023-05-22,"1",6.7859440892542,"Pain Management","lw_wl"
"161",2023-05-23,"1",5.97519497494569,"Pain Management","lw_wl"
"162",2023-05-24,"1",5.82274321336133,"Pain Management","lw_wl"
"163",2023-05-25,"1",5.08333645451316,"Pain Management","lw_wl"
"164",2023-05-26,"1",4.40240402365766,"Pain Management","lw_wl"
"165",2023-05-27,"1",5.04904240380062,"Pain Management","lw_wl"
"166",2023-05-28,"1",5.83036782197597,"Pain Management","lw_wl"
"167",2023-05-29,"1",5.38137179512567,"Pain Management","lw_wl"
"168",2023-05-30,"1",5.81823929204234,"Pain Management","lw_wl"
"169",2023-05-31,"1",5.17065730991003,"Pain Management","lw_wl"
"170",2023-06-01,"1",4.78554715904162,"Pain Management","lw_wl"
"171",2023-06-02,"1",5.40138358432341,"Pain Management","lw_wl"
"172",2023-06-03,"1",4.64308573059424,"Pain Management","lw_wl"
"173",2023-06-04,"1",5.46497594411651,"Pain Management","lw_wl"
"174",2023-06-05,"1",6.00645567398829,"Pain Management","lw_wl"
"175",2023-06-06,"1",5.38310888495574,"Pain Management","lw_wl"
"176",2023-06-07,"1",5.20962089793527,"Pain Management","lw_wl"
"177",2023-06-08,"1",4.99006852383523,"Pain Management","lw_wl"
"178",2023-06-09,"1",4.24580076115561,"Pain Management","lw_wl"
"179",2023-06-10,"1",3.98737175785468,"Pain Management","lw_wl"
"180",2023-06-11,"1",3.14752283929038,"Pain Management","lw_wl"
"181",2023-06-12,"1",3.32866139468236,"Pain Management","lw_wl"
"182",2023-06-13,"1",2.76103209959629,"Pain Management","lw_wl"
"183",2023-06-14,"1",1.51292864559803,"Pain Management","lw_wl"
"184",2023-06-15,"1",1.70001793874396,"Pain Management","lw_wl"
"185",2023-06-16,"1",1.93528287006831,"Pain Management","lw_wl"
"186",2023-06-17,"1",1.76482548304946,"Pain Management","lw_wl"
"187",2023-06-18,"1",1.94068557186352,"Pain Management","lw_wl"
"188",2023-06-19,"1",1.26772045078422,"Pain Management","lw_wl"
"189",2023-06-20,"1",2.08206869536952,"Pain Management","lw_wl"
"190",2023-06-21,"1",1.99916286753002,"Pain Management","lw_wl"
"191",2023-06-22,"1",2.90027783941929,"Pain Management","lw_wl"
"192",2023-06-23,"1",3.38822989215087,"Pain Management","lw_wl"
"193",2023-06-24,"1",3.11836903323575,"Pain Management","lw_wl"
"194",2023-06-25,"1",2.83428781354591,"Pain Management","lw_wl"
"195",2023-06-26,"1",2.6348307515978,"Pain Management","lw_wl"
"196",2023-06-27,"1",2.37735835065227,"Pain Management","lw_wl"
"197",2023-06-28,"1",2.2792164616823,"Pain Management","lw_wl"
"198",2023-06-29,"1",2.55066594809235,"Pain Management","lw_wl"
"199",2023-06-30,"1",2.86841452379842,"Pain Management","lw_wl"
"200",2023-07-01,"1",2.61352197406359,"Pain Management","lw_wl"
"201",2023-07-02,"1",2.36282192863624,"Pain Management","lw_wl"
"202",2023-07-03,"1",2.28058878900303,"Pain Management","lw_wl"
"203",2023-07-04,"1",3.43619177705777,"Pain Management","lw_wl"
"204",2023-07-05,"1",2.90485241375265,"Pain Management","lw_wl"
"205",2023-07-06,"1",3.49936780981994,"Pain Management","lw_wl"
"206",2023-07-07,"1",3.94704550801916,"Pain Management","lw_wl"
"207",2023-07-08,"1",3.50971602067296,"Pain Management","lw_wl"
"208",2023-07-09,"1",4.60415167164399,"Pain Management","lw_wl"
"209",2023-07-10,"1",2.98137240899566,"Pain Management","lw_wl"
"210",2023-07-11,"1",2.80441613924069,"Pain Management","lw_wl"
"211",2023-07-12,"1",3.69413998458073,"Pain Management","lw_wl"
"212",2023-07-13,"1",2.75876974127877,"Pain Management","lw_wl"
"213",2023-07-14,"1",1.76606286798349,"Pain Management","lw_wl"
"214",2023-07-15,"1",1.34508318216567,"Pain Management","lw_wl"
"215",2023-07-16,"1",1.47705284340116,"Pain Management","lw_wl"
"216",2023-07-17,"1",1.05413256444716,"Pain Management","lw_wl"
"217",2023-07-18,"1",1.98451163076951,"Pain Management","lw_wl"
"218",2023-07-19,"1",2.49372646921446,"Pain Management","lw_wl"
"219",2023-07-20,"1",2.11371040330096,"Pain Management","lw_wl"
"220",2023-07-21,"1",3.06503641335706,"Pain Management","lw_wl"
"221",2023-07-22,"1",3.33869615903276,"Pain Management","lw_wl"
"222",2023-07-23,"1",3.07803410109454,"Pain Management","lw_wl"
"223",2023-07-24,"1",3.0507972238442,"Pain Management","lw_wl"
"224",2023-07-25,"1",4.19308248938655,"Pain Management","lw_wl"
"225",2023-07-26,"1",4.76550718267739,"Pain Management","lw_wl"
"226",2023-07-27,"1",3.62755818835228,"Pain Management","lw_wl"
"227",2023-07-28,"1",4.4966637623999,"Pain Management","lw_wl"
"228",2023-07-29,"1",4.52392719859659,"Pain Management","lw_wl"
"229",2023-07-30,"1",4.69924863358238,"Pain Management","lw_wl"
"230",2023-07-31,"1",5.45344511546148,"Pain Management","lw_wl"
"231",2023-08-01,"1",6.45595413398557,"Pain Management","lw_wl"
"232",2023-08-02,"1",6.29178350740668,"Pain Management","lw_wl"
"233",2023-08-03,"1",5.2439699453008,"Pain Management","lw_wl"
"234",2023-08-04,"1",5.9490468040017,"Pain Management","lw_wl"
"235",2023-08-05,"1",5.98882825036254,"Pain Management","lw_wl"
"236",2023-08-06,"1",5.68436212507061,"Pain Management","lw_wl"
"237",2023-08-07,"1",5.31885524325456,"Pain Management","lw_wl"
"238",2023-08-08,"1",6.30875332986831,"Pain Management","lw_wl"
"239",2023-08-09,"1",6.53228911777,"Pain Management","lw_wl"
"240",2023-08-10,"1",6.25206191424167,"Pain Management","lw_wl"
"241",2023-08-11,"1",6.41681703861672,"Pain Management","lw_wl"
"242",2023-08-12,"1",7.21643698112697,"Pain Management","lw_wl"
"243",2023-08-13,"1",7.28750276336863,"Pain Management","lw_wl"
"244",2023-08-14,"1",8.20754505228305,"Pain Management","lw_wl"
"245",2023-08-15,"1",8.42361652949833,"Pain Management","lw_wl"
"246",2023-08-16,"1",8.11579475007897,"Pain Management","lw_wl"
"247",2023-08-17,"1",9.45063724870182,"Pain Management","lw_wl"
"248",2023-08-18,"1",9.52043988079868,"Pain Management","lw_wl"
"249",2023-08-19,"1",9.35400212160948,"Pain Management","lw_wl"
"250",2023-08-20,"1",9.5856427745235,"Pain Management","lw_wl"
"251",2023-08-21,"1",8.38419675332765,"Pain Management","lw_wl"
"252",2023-08-22,"1",8.60212111140818,"Pain Management","lw_wl"
"253",2023-08-23,"1",8.59048864019707,"Pain Management","lw_wl"
"254",2023-08-24,"1",8.84380187547771,"Pain Management","lw_wl"
"255",2023-08-25,"1",8.16178082153824,"Pain Management","lw_wl"
"256",2023-08-26,"1",8.42031650518251,"Pain Management","lw_wl"
"257",2023-08-27,"1",8.47458983877321,"Pain Management","lw_wl"
"258",2023-08-28,"1",8.76774975822561,"Pain Management","lw_wl"
"259",2023-08-29,"1",6.88989869303981,"Pain Management","lw_wl"
"260",2023-08-30,"1",7.69460641701597,"Pain Management","lw_wl"
"261",2023-08-31,"1",7.98024570051281,"Pain Management","lw_wl"
"262",2023-09-01,"1",7.85952674562357,"Pain Management","lw_wl"
"263",2023-09-02,"1",7.5603141330859,"Pain Management","lw_wl"
"264",2023-09-03,"1",7.31825172631891,"Pain Management","lw_wl"
"265",2023-09-04,"1",6.26143538504233,"Pain Management","lw_wl"
"266",2023-09-05,"1",6.46768799866413,"Pain Management","lw_wl"
"267",2023-09-06,"1",6.19935174778426,"Pain Management","lw_wl"
"268",2023-09-07,"1",5.73555534839293,"Pain Management","lw_wl"
"269",2023-09-08,"1",5.7571685088148,"Pain Management","lw_wl"
"270",2023-09-09,"1",3.77138198420921,"Pain Management","lw_wl"
"271",2023-09-10,"1",4.37417518701515,"Pain Management","lw_wl"
"272",2023-09-11,"1",3.49699773271294,"Pain Management","lw_wl"
"273",2023-09-12,"1",2.77554412903426,"Pain Management","lw_wl"
"274",2023-09-13,"1",2.9758463694774,"Pain Management","lw_wl"
"275",2023-09-14,"1",2.85526415998934,"Pain Management","lw_wl"
"276",2023-09-15,"1",3.59563769993138,"Pain Management","lw_wl"
"277",2023-09-16,"1",3.62301154395962,"Pain Management","lw_wl"
"278",2023-09-17,"1",3.82785093984395,"Pain Management","lw_wl"
"279",2023-09-18,"1",3.39700510476164,"Pain Management","lw_wl"
"280",2023-09-19,"1",4.10522698567021,"Pain Management","lw_wl"
"281",2023-09-20,"1",4.88046730133996,"Pain Management","lw_wl"
"282",2023-09-21,"1",4.34402046272339,"Pain Management","lw_wl"
"283",2023-09-22,"1",5.62273905612251,"Pain Management","lw_wl"
"284",2023-09-23,"1",5.33048431376374,"Pain Management","lw_wl"
"285",2023-09-24,"1",4.31454648692848,"Pain Management","lw_wl"
"286",2023-09-25,"1",2.67078141669052,"Pain Management","lw_wl"
"287",2023-09-26,"1",3.40668214574269,"Pain Management","lw_wl"
"288",2023-09-27,"1",1.89272997285676,"Pain Management","lw_wl"
"289",2023-09-28,"1",2.46945003344597,"Pain Management","lw_wl"
"290",2023-09-29,"1",1.92133267739753,"Pain Management","lw_wl"
"291",2023-09-30,"1",0,"Pain Management","lw_wl"
"292",2023-10-01,"1",0,"Pain Management","lw_wl"
"293",2023-10-02,"1",0,"Pain Management","lw_wl"
"294",2023-10-03,"1",0,"Pain Management","lw_wl"
"295",2023-10-04,"1",0,"Pain Management","lw_wl"
"296",2023-10-05,"1",0,"Pain Management","lw_wl"
"297",2023-10-06,"1",0,"Pain Management","lw_wl"
"298",2023-10-07,"1",0,"Pain Management","lw_wl"
"299",2023-10-08,"1",0,"Pain Management","lw_wl"
"300",2023-10-09,"1",0,"Pain Management","lw_wl"
"301",2023-10-10,"1",0,"Pain Management","lw_wl"
"302",2023-10-11,"1",0,"Pain Management","lw_wl"
"303",2023-10-12,"1",0,"Pain Management","lw_wl"
"304",2023-10-13,"1",0,"Pain Management","lw_wl"
"305",2023-10-14,"1",0,"Pain Management","lw_wl"
"306",2023-10-15,"1",0,"Pain Management","lw_wl"
"307",2023-10-16,"1",0,"Pain Management","lw_wl"
"308",2023-10-17,"1",0,"Pain Management","lw_wl"
"309",2023-10-18,"1",0,"Pain Management","lw_wl"
"310",2023-10-19,"1",0,"Pain Management","lw_wl"
"311",2023-10-20,"1",0,"Pain Management","lw_wl"
"312",2023-10-21,"1",0,"Pain Management","lw_wl"
"313",2023-10-22,"1",0,"Pain Management","lw_wl"
"314",2023-10-23,"1",0,"Pain Management","lw_wl"
"315",2023-10-24,"1",0,"Pain Management","lw_wl"
"316",2023-10-25,"1",0,"Pain Management","lw_wl"
"317",2023-10-26,"1",0,"Pain Management","lw_wl"
"318",2023-10-27,"1",0,"Pain Management","lw_wl"
"319",2023-10-28,"1",0,"Pain Management","lw_wl"
"320",2023-10-29,"1",0,"Pain Management","lw_wl"
"321",2023-10-30,"1",0,"Pain Management","lw_wl"
"322",2023-10-31,"1",0,"Pain Management","lw_wl"
"323",2023-11-01,"1",0,"Pain Management","lw_wl"
"324",2023-11-02,"1",0,"Pain Management","lw_wl"
"325",2023-11-03,"1",0,"Pain Management","lw_wl"
"326",2023-11-04,"1",0,"Pain Management","lw_wl"
"327",2023-11-05,"1",0,"Pain Management","lw_wl"
"328",2023-11-06,"1",0,"Pain Management","lw_wl"
"329",2023-11-07,"1",0,"Pain Management","lw_wl"
"330",2023-11-08,"1",0,"Pain Management","lw_wl"
"331",2023-11-09,"1",0,"Pain Management","lw_wl"
"332",2023-11-10,"1",0,"Pain Management","lw_wl"
"333",2023-11-11,"1",0,"Pain Management","lw_wl"
"334",2023-11-12,"1",0,"Pain Management","lw_wl"
"335",2023-11-13,"1",0,"Pain Management","lw_wl"
"336",2023-11-14,"1",0,"Pain Management","lw_wl"
"337",2023-11-15,"1",0,"Pain Management","lw_wl"
"338",2023-11-16,"1",0,"Pain Management","lw_wl"
"339",2023-11-17,"1",0,"Pain Management","lw_wl"
"340",2023-11-18,"1",0,"Pain Management","lw_wl"
"341",2023-11-19,"1",0,"Pain Management","lw_wl"
"342",2023-11-20,"1",0,"Pain Management","lw_wl"
"343",2023-11-21,"1",0,"Pain Management","lw_wl"
"344",2023-11-22,"1",0,"Pain Management","lw_wl"
"345",2023-11-23,"1",0,"Pain Management","lw_wl"
"346",2023-11-24,"1",1.15666927179337,"Pain Management","lw_wl"
"347",2023-11-25,"1",1.87345001684002,"Pain Management","lw_wl"
"348",2023-11-26,"1",2.33093557036887,"Pain Management","lw_wl"
"349",2023-11-27,"1",2.35304314604689,"Pain Management","lw_wl"
"350",2023-11-28,"1",0,"Pain Management","lw_wl"
"351",2023-11-29,"1",1.39405063921471,"Pain Management","lw_wl"
"352",2023-11-30,"1",0,"Pain Management","lw_wl"
"353",2023-12-01,"1",0,"Pain Management","lw_wl"
"354",2023-12-02,"1",0,"Pain Management","lw_wl"
"355",2023-12-03,"1",0,"Pain Management","lw_wl"
"356",2023-12-04,"1",0,"Pain Management","lw_wl"
"357",2023-12-05,"1",0,"Pain Management","lw_wl"
"358",2023-12-06,"1",0,"Pain Management","lw_wl"
"359",2023-12-07,"1",0,"Pain Management","lw_wl"
"360",2023-12-08,"1",0,"Pain Management","lw_wl"
"361",2023-12-09,"1",0,"Pain Management","lw_wl"
"362",2023-12-10,"1",0,"Pain Management","lw_wl"
"363",2023-12-11,"1",0,"Pain Management","lw_wl"
"364",2023-12-12,"1",0,"Pain Management","lw_wl"
"365",2023-12-13,"1",0,"Pain Management","lw_wl"
"366",2022-12-14,"2",12.1307470436982,"Pain Management","lw_wl"
"367",2022-12-15,"2",12.5365418639015,"Pain Management","lw_wl"
"368",2022-12-16,"2",11.5879692380234,"Pain Management","lw_wl"
"369",2022-12-17,"2",10.8593572134017,"Pain Management","lw_wl"
"370",2022-12-18,"2",10.1721898166916,"Pain Management","lw_wl"
"371",2022-12-19,"2",10.8564443420165,"Pain Management","lw_wl"
"372",2022-12-20,"2",9.36429215312312,"Pain Management","lw_wl"
"373",2022-12-21,"2",9.70318250299947,"Pain Management","lw_wl"
"374",2022-12-22,"2",9.40305238536244,"Pain Management","lw_wl"
"375",2022-12-23,"2",8.98487058953961,"Pain Management","lw_wl"
"376",2022-12-24,"2",9.0045376383067,"Pain Management","lw_wl"
"377",2022-12-25,"2",9.12187989356197,"Pain Management","lw_wl"
"378",2022-12-26,"2",10.005510435621,"Pain Management","lw_wl"
"379",2022-12-27,"2",9.80112048970769,"Pain Management","lw_wl"
"380",2022-12-28,"2",8.76028571222893,"Pain Management","lw_wl"
"381",2022-12-29,"2",8.99235931448565,"Pain Management","lw_wl"
"382",2022-12-30,"2",8.91483367164378,"Pain Management","lw_wl"
"383",2022-12-31,"2",8.07454246683214,"Pain Management","lw_wl"
"384",2023-01-01,"2",7.24220605482803,"Pain Management","lw_wl"
"385",2023-01-02,"2",6.92806049118551,"Pain Management","lw_wl"
"386",2023-01-03,"2",6.72222322131723,"Pain Management","lw_wl"
"387",2023-01-04,"2",8.28270580780165,"Pain Management","lw_wl"
"388",2023-01-05,"2",8.29213928995141,"Pain Management","lw_wl"
"389",2023-01-06,"2",9.44796535263524,"Pain Management","lw_wl"
"390",2023-01-07,"2",10.171766751717,"Pain Management","lw_wl"
"391",2023-01-08,"2",11.2602494925685,"Pain Management","lw_wl"
"392",2023-01-09,"2",11.7661392941843,"Pain Management","lw_wl"
"393",2023-01-10,"2",11.5020604016585,"Pain Management","lw_wl"
"394",2023-01-11,"2",10.2147081431001,"Pain Management","lw_wl"
"395",2023-01-12,"2",9.79102165166243,"Pain Management","lw_wl"
"396",2023-01-13,"2",9.64687209170624,"Pain Management","lw_wl"
"397",2023-01-14,"2",7.70637496067666,"Pain Management","lw_wl"
"398",2023-01-15,"2",7.29232237969131,"Pain Management","lw_wl"
"399",2023-01-16,"2",6.60265682732338,"Pain Management","lw_wl"
"400",2023-01-17,"2",6.43429028140184,"Pain Management","lw_wl"
"401",2023-01-18,"2",7.35482177620758,"Pain Management","lw_wl"
"402",2023-01-19,"2",7.55867370437373,"Pain Management","lw_wl"
"403",2023-01-20,"2",7.65435452101826,"Pain Management","lw_wl"
"404",2023-01-21,"2",8.41296138453135,"Pain Management","lw_wl"
"405",2023-01-22,"2",8.09838309546791,"Pain Management","lw_wl"
"406",2023-01-23,"2",8.91059335053398,"Pain Management","lw_wl"
"407",2023-01-24,"2",8.66644902992565,"Pain Management","lw_wl"
"408",2023-01-25,"2",9.57412905714916,"Pain Management","lw_wl"
"409",2023-01-26,"2",9.76045322313769,"Pain Management","lw_wl"
"410",2023-01-27,"2",9.78857715585504,"Pain Management","lw_wl"
"411",2023-01-28,"2",10.9354567627165,"Pain Management","lw_wl"
